Percentage served,Time in ms
0,0.000
1,0.121
2,0.122
3,0.123
4,0.124
5,0.124
6,0.125
7,0.125
8,0.125
9,0.126
10,0.126
11,0.126
12,0.126
13,0.127
14,0.127
15,0.128
16,0.128
17,0.129
18,0.130
19,0.131
20,0.132
21,0.133
22,0.135
23,0.138
24,0.141
25,0.144
26,0.147
27,0.150
28,0.153
29,0.156
30,0.160
31,0.165
32,0.170
33,0.173
34,0.177
35,0.182
36,0.187
37,0.191
38,0.196
39,0.200
40,0.205
41,0.208
42,0.212
43,0.217
44,0.223
45,0.227
46,0.230
47,0.232
48,0.234
49,0.236
50,0.238
51,0.239
52,0.241
53,0.243
54,0.245
55,0.246
56,0.248
57,0.250
58,0.252
59,0.254
60,0.256
61,0.258
62,0.261
63,0.263
64,0.265
65,0.267
66,0.269
67,0.270
68,0.272
69,0.274
70,0.276
71,0.279
72,0.281
73,0.283
74,0.286
75,0.289
76,0.291
77,0.294
78,0.296
79,0.299
80,0.302
81,0.306
82,0.310
83,0.314
84,0.319
85,0.323
86,0.329
87,0.334
88,0.340
89,0.347
90,0.355
91,0.363
92,0.373
93,0.385
94,0.399
95,0.417
96,0.439
97,0.470
98,0.532
99,0.976
100,3.544
