,blkio_stats__io_merged_recursive,blkio_stats__io_queue_recursive,blkio_stats__io_service_bytes_recursive,blkio_stats__io_service_time_recursive,blkio_stats__io_serviced_recursive,blkio_stats__io_time_recursive,blkio_stats__io_wait_time_recursive,blkio_stats__sectors_recursive,cname,cpu_stats__cpu_usage__percpu_usage,cpu_stats__cpu_usage__total_usage,cpu_stats__cpu_usage__usage_in_kernelmode,cpu_stats__cpu_usage__usage_in_usermode,cpu_stats__online_cpus,cpu_stats__system_cpu_usage,cpu_stats__throttling_data__periods,cpu_stats__throttling_data__throttled_periods,cpu_stats__throttling_data__throttled_time,id,memory_stats__limit,memory_stats__max_usage,memory_stats__stats__active_anon,memory_stats__stats__active_file,memory_stats__stats__cache,memory_stats__stats__dirty,memory_stats__stats__hierarchical_memory_limit,memory_stats__stats__hierarchical_memsw_limit,memory_stats__stats__inactive_anon,memory_stats__stats__inactive_file,memory_stats__stats__mapped_file,memory_stats__stats__pgfault,memory_stats__stats__pgmajfault,memory_stats__stats__pgpgin,memory_stats__stats__pgpgout,memory_stats__stats__rss,memory_stats__stats__rss_huge,memory_stats__stats__total_active_anon,memory_stats__stats__total_active_file,memory_stats__stats__total_cache,memory_stats__stats__total_dirty,memory_stats__stats__total_inactive_anon,memory_stats__stats__total_inactive_file,memory_stats__stats__total_mapped_file,memory_stats__stats__total_pgfault,memory_stats__stats__total_pgmajfault,memory_stats__stats__total_pgpgin,memory_stats__stats__total_pgpgout,memory_stats__stats__total_rss,memory_stats__stats__total_rss_huge,memory_stats__stats__total_unevictable,memory_stats__stats__total_writeback,memory_stats__stats__unevictable,memory_stats__stats__writeback,memory_stats__usage,name,networks__eth0__rx_bytes,networks__eth0__rx_dropped,networks__eth0__rx_errors,networks__eth0__rx_packets,networks__eth0__tx_bytes,networks__eth0__tx_dropped,networks__eth0__tx_errors,networks__eth0__tx_packets,num_procs,pids_stats__current,precpu_stats__cpu_usage__percpu_usage,precpu_stats__cpu_usage__total_usage,precpu_stats__cpu_usage__usage_in_kernelmode,precpu_stats__cpu_usage__usage_in_usermode,precpu_stats__online_cpus,precpu_stats__system_cpu_usage,precpu_stats__throttling_data__periods,precpu_stats__throttling_data__throttled_periods,precpu_stats__throttling_data__throttled_time,preread,read,timestamp
0,[],[],[],[],[],[],[],[],mn.vnf0.vdu01,"[2008861808, 0, 229300, 0, 0, 0, 737239, 5530, 0, 0, 0, 2020098, 0, 0, 875044066, 0]",2886815194,210000000,2650000000,16,30397928060000000,4,0,0,7f80e1f4a6ee1f4c76334ba7474fa16fce1b6c001751b8de45a2ff06feba080d,2147483648,165650432,163102720,0,12288,12288,2147483648,0,0,12288,0,57684,0,51861,12029,163139584,0,163102720,0,12288,12288,0,12288,0,57684,0,51861,12029,163139584,0,0,0,0,0,165650432,mn.vnf0.vdu01,516,0,0,6,0,0,0,0,0,24,"[1467918566, 0, 229300, 0, 0, 0, 737239, 5530, 0, 0, 0, 2020098, 0, 0, 414194717, 0]",1885105450,170000000,1690000000,16,30397912040000000,3,0,0,2019-02-19T15:15:52.44064431Z,2019-02-19T15:15:53.442443976Z,0.0
1,[],[],[],[],[],[],[],[],mn.vnf0.vdu01,"[6184220191, 0, 229300, 0, 0, 0, 737239, 5530, 0, 0, 0, 2020098, 0, 0, 4709673746, 0]",10896886104,590000000,10280000000,16,30398056140000000,12,1,98226,7f80e1f4a6ee1f4c76334ba7474fa16fce1b6c001751b8de45a2ff06feba080d,2147483648,165781504,163295232,0,49152,49152,2147483648,0,0,49152,0,57723,0,51908,12029,163295232,0,163295232,0,49152,49152,0,49152,0,57723,0,51908,12029,163295232,0,0,0,0,0,165781504,mn.vnf0.vdu01,586,0,0,7,0,0,0,0,0,24,"[5662392942, 0, 229300, 0, 0, 0, 737239, 5530, 0, 0, 0, 2020098, 0, 0, 4230569438, 0]",9895954547,520000000,9360000000,16,30398040150000000,11,1,98226,2019-02-19T15:16:00.451662831Z,2019-02-19T15:16:01.453190535Z,7.1680169105529785
2,[],[],[],[],[],[],[],[],mn.vnf0.vdu01,"[10396580506, 0, 229300, 0, 0, 0, 737239, 5530, 0, 0, 0, 2020098, 0, 0, 8508234171, 0]",18907714334,990000000,17880000000,16,30398184230000000,20,5,693454,7f80e1f4a6ee1f4c76334ba7474fa16fce1b6c001751b8de45a2ff06feba080d,2147483648,165781504,163295232,0,81920,81920,2147483648,0,0,49152,0,57724,0,51917,12029,163299328,0,163295232,0,81920,81920,0,49152,0,57724,0,51917,12029,163299328,0,0,0,0,0,165781504,mn.vnf0.vdu01,656,0,0,8,0,0,0,0,0,24,"[9869349295, 0, 229300, 0, 0, 0, 737239, 5530, 0, 0, 0, 2020098, 0, 0, 8033362501, 0]",17905703963,940000000,16930000000,16,30398168210000000,19,5,693454,2019-02-19T15:16:08.462375625Z,2019-02-19T15:16:09.463971704Z,15.178247451782227
3,[],[],[],[],[],[],[],[],mn.vnf0.vdu01,"[13586808624, 0, 229300, 0, 0, 0, 737239, 5530, 0, 0, 0, 2020098, 0, 0, 11344701874, 0]",24934502665,1280000000,23600000000,16,30398312370000000,28,6,821614,7f80e1f4a6ee1f4c76334ba7474fa16fce1b6c001751b8de45a2ff06feba080d,2147483648,165912576,163360768,0,114688,20480,2147483648,0,0,98304,0,57741,0,51942,12029,163368960,0,163360768,0,114688,20480,0,98304,0,57741,0,51942,12029,163368960,0,0,0,0,0,165912576,mn.vnf0.vdu01,656,0,0,8,0,0,0,0,0,24,"[13579629822, 0, 229300, 0, 0, 0, 737239, 5530, 0, 0, 0, 2020098, 0, 0, 11344701874, 0]",24927323863,1280000000,23600000000,16,30398296350000000,27,6,821614,2019-02-19T15:16:16.473715906Z,2019-02-19T15:16:17.475721756Z,23.18962025642395
4,"[{'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Total'}]","[{'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Total'}]","[{'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 114688, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 114688, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 114688, 'op': 'Total'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 114688, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 114688, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 114688, 'op': 'Total'}]","[{'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 4495893, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 4495893, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 4495893, 'op': 'Total'}]","[{'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 38, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 11, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 27, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 38, 'op': 'Total'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 38, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 11, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 27, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 38, 'op': 'Total'}]","[{'major': 8, 'minor': 0, 'value': 5706875, 'op': ''}]","[{'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 126721797, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 126721797, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 126721797, 'op': 'Total'}]","[{'major': 8, 'minor': 0, 'value': 224, 'op': ''}]",mn.vnf0.vdu01,"[14001285065, 0, 229300, 0, 0, 705243, 737239, 5530, 82931, 0, 0, 2020098, 234910, 0, 11344701874, 0]",25350002190,1460000000,23840000000,16,30398440450000000,36,6,821614,7f80e1f4a6ee1f4c76334ba7474fa16fce1b6c001751b8de45a2ff06feba080d,2147483648,168873984,954368,135168,303104,151552,2147483648,0,0,167936,0,91316,0,76583,76276,954368,0,954368,135168,303104,151552,0,167936,0,91316,0,76583,76276,954368,0,0,0,0,0,3321856,mn.vnf0.vdu01,726,0,0,9,0,0,0,0,0,2,"[13837535097, 0, 229300, 0, 0, 705243, 737239, 5530, 82931, 0, 0, 2020098, 234910, 0, 11344701874, 0]",25186252222,1410000000,23730000000,16,30398424450000000,35,6,821614,2019-02-19T15:16:24.486688202Z,2019-02-19T15:16:25.488698779Z,31.201865673065186
5,[],[],[],[],[],[],[],[],mn.vnf0.vdu01,"[2493583310, 0, 0, 0, 0, 0, 5367, 0, 747567, 0, 16572, 0, 2032529, 0, 972195509, 0]",3468554849,380000000,3080000000,16,30398711990000000,4,0,0,50a74e9bb619198270d6169915fc3750db61bcbd241d7afd3d3295048e0a4eab,2147483648,246312960,243642368,0,12288,12288,2147483648,0,0,12288,0,77533,0,71535,12036,243695616,0,243642368,0,12288,12288,0,12288,0,77533,0,71535,12036,243695616,0,0,0,0,0,246312960,mn.vnf0.vdu01,516,0,0,6,0,0,0,0,0,24,"[1955717393, 0, 0, 0, 0, 0, 5367, 0, 747567, 0, 16572, 0, 2032529, 0, 508724646, 0]",2467218401,240000000,2220000000,16,30398695950000000,3,0,0,2019-02-19T15:16:41.499752043Z,2019-02-19T15:16:42.501472873Z,0.0
6,[],[],[],[],[],[],[],[],mn.vnf0.vdu01,"[6010653802, 1297, 0, 2789, 0, 0, 5367, 0, 747567, 0, 16572, 0, 2032529, 0, 5462526658, 0]",11475986581,2140000000,9300000000,16,30398840160000000,13,7,108293,50a74e9bb619198270d6169915fc3750db61bcbd241d7afd3d3295048e0a4eab,2147483648,260730880,257941504,0,49152,0,2147483648,0,0,49152,0,81025,0,75025,12036,257953792,0,257941504,0,49152,0,0,49152,0,81025,0,75025,12036,257953792,0,0,0,0,0,260730880,mn.vnf0.vdu01,586,0,0,7,0,0,0,0,0,24,"[5579288567, 1297, 0, 2789, 0, 0, 5367, 0, 747567, 0, 16572, 0, 2032529, 0, 4892248704, 0]",10474329699,1950000000,8500000000,16,30398824160000000,12,6,94141,2019-02-19T15:16:49.510441638Z,2019-02-19T15:16:50.51221389Z,7.552247524261475
7,[],[],[],[],[],[],[],[],mn.vnf0.vdu01,"[9466157094, 7206, 0, 5707, 0, 0, 5367, 0, 747567, 0, 16572, 0, 2032529, 0, 10014969089, 0]",19483913094,3980000000,15440000000,16,30398968420000000,21,13,192399,50a74e9bb619198270d6169915fc3750db61bcbd241d7afd3d3295048e0a4eab,2147483648,261779456,258957312,0,81920,36864,2147483648,0,0,65536,0,81277,0,75285,12036,258985984,0,258957312,0,81920,36864,0,65536,0,81277,0,75285,12036,258985984,0,0,0,0,0,261779456,mn.vnf0.vdu01,656,0,0,8,0,0,0,0,0,24,"[9016735796, 7206, 0, 5707, 0, 0, 5367, 0, 747567, 0, 16572, 0, 2032529, 0, 9463108320, 0]",18482537317,3750000000,14680000000,16,30398952370000000,20,12,175036,2019-02-19T15:16:57.521965877Z,2019-02-19T15:16:58.523601631Z,15.562731742858887
8,[],[],[],[],[],[],[],[],mn.vnf0.vdu01,"[12920696326, 7206, 0, 5707, 0, 0, 5367, 0, 747567, 0, 16572, 0, 2032529, 0, 14567734313, 0]",27491245587,5940000000,21470000000,16,30399096650000000,29,19,412540,50a74e9bb619198270d6169915fc3750db61bcbd241d7afd3d3295048e0a4eab,2147483648,262172672,259366912,0,114688,20480,2147483648,0,0,114688,0,81375,0,75391,12036,259387392,0,259366912,0,114688,20480,0,114688,0,81375,0,75391,12036,259387392,0,0,0,0,0,262172672,mn.vnf0.vdu01,726,0,0,9,0,0,0,0,0,24,"[12500859917, 7206, 0, 5707, 0, 0, 5367, 0, 747567, 0, 16572, 0, 2032529, 0, 13986657255, 0]",26490279250,5710000000,20700000000,16,30399080590000000,28,18,405436,2019-02-19T15:17:05.533187329Z,2019-02-19T15:17:06.534856939Z,23.574334144592285
9,"[{'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Total'}]","[{'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Total'}]","[{'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 49152, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 49152, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 49152, 'op': 'Total'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 49152, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 49152, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 49152, 'op': 'Total'}]","[{'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 2289713, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 2289713, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 2289713, 'op': 'Total'}]","[{'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 22, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 11, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 11, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 22, 'op': 'Total'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 22, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 11, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 11, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 22, 'op': 'Total'}]","[{'major': 8, 'minor': 0, 'value': 5444581, 'op': ''}]","[{'major': 8, 'minor': 0, 'value': 0, 'op': 'Read'}, {'major': 8, 'minor': 0, 'value': 46212768, 'op': 'Write'}, {'major': 8, 'minor': 0, 'value': 0, 'op': 'Sync'}, {'major': 8, 'minor': 0, 'value': 46212768, 'op': 'Async'}, {'major': 8, 'minor': 0, 'value': 46212768, 'op': 'Total'}]","[{'major': 8, 'minor': 0, 'value': 96, 'op': ''}]",mn.vnf0.vdu01,"[15187052877, 15037, 0, 5707, 0, 0, 5367, 18943, 747567, 0, 16572, 0, 2772322, 0, 17131098656, 0]",32321733048,7020000000,25200000000,16,30399224990000000,37,21,629826,50a74e9bb619198270d6169915fc3750db61bcbd241d7afd3d3295048e0a4eab,2147483648,265035776,958464,139264,311296,155648,2147483648,0,0,172032,0,115054,0,100158,99848,958464,0,958464,139264,311296,155648,0,172032,0,115054,0,100158,99848,958464,0,0,0,0,0,3297280,mn.vnf0.vdu01,726,0,0,9,0,0,0,0,0,2,"[15187052877, 15037, 0, 5707, 0, 0, 5367, 18943, 747567, 0, 16572, 0, 2772322, 0, 17131098656, 0]",32321733048,7020000000,25200000000,16,30399208970000000,36,21,629826,2019-02-19T15:17:13.543924684Z,2019-02-19T15:17:14.54591179Z,31.585545301437378
