,metric_vnf0_eth_input_rx_bytes,metric_vnf0_suricata_bytes,metric_vnf0_suricata_dropped,metric_vnf0_suricata_drops,metric_vnf0_suricata_packets,param_vnf0_cmdstart,param_vnf0_cpubw,param_vnf0_cpuset,param_vnf0_memmax,param_agent0_cmdstart,param_repetition,param_exptimelimit
0,9216531726.0,70.0,0.0,0.0,1.0,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/smallFlows.pcap,0,30
1,9216531726.0,35.0,0.0,0.0,0.5,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/smallFlows.pcap,1,30
2,9216531726.0,28.0,0.0,0.0,0.4,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/smallFlows.pcap,2,30
3,9216531726.0,70.0,0.0,0.0,1.0,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/smallFlows.pcap,3,30
4,9216531726.0,35.0,0.0,0.0,0.5,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/smallFlows.pcap,4,30
5,9216531726.0,35.0,0.0,0.0,0.5,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/smallFlows.pcap,5,30
6,9216531726.0,28.0,0.0,0.0,0.4,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/smallFlows.pcap,6,30
7,9216531726.0,17.5,0.0,0.0,0.25,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/smallFlows.pcap,7,30
8,9216531726.0,17.5,0.0,0.0,0.25,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/smallFlows.pcap,8,30
9,9216531726.0,70.0,0.0,0.0,1.0,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/smallFlows.pcap,9,30
10,10816358602.0,14955586.6,678630.4,0.9437368357668304,40460.0,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/bigFlows.pcap,0,30
11,10775826751.0,13483378.0,682886.2,0.9514379277656069,34832.0,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/bigFlows.pcap,1,30
12,11787444476.0,14256442.8,683059.8,0.9512829775920749,34944.0,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/bigFlows.pcap,2,30
13,11049668879.0,13248255.666666664,689815.8,0.9527800429611362,34188.0,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/bigFlows.pcap,3,30
14,10425502167.0,14550782.0,688200.8,0.9542308065611959,36871.333333333336,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/bigFlows.pcap,4,30
15,10994246588.0,16376394.0,679335.8,0.9446907368171622,42000.5,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/bigFlows.pcap,5,30
16,10970787670.0,13568760.4,691772.4,0.9512209610272606,35476.0,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/bigFlows.pcap,6,30
17,11080294836.0,14206924.4,682255.4,0.9451583891442231,39564.0,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/bigFlows.pcap,7,30
18,10592919231.0,14567853.5,686265.0,0.952613957207226,39113.0,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/bigFlows.pcap,8,30
19,11009576132.0,17127140.5,685070.2,0.9509850084594289,43499.0,./start.sh small_ruleset,0.1,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/bigFlows.pcap,9,30
20,9216531726.0,24120596.4,289837.8,0.8787991432674208,40152.0,./start.sh small_ruleset,0.2,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/smallFlows.pcap,0,30
21,9216531726.0,22023047.2,266190.4,0.8795239958130241,36761.0,./start.sh small_ruleset,0.2,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/smallFlows.pcap,1,30
22,9216531726.0,22506728.6,253963.0,0.8722868442040459,37439.4,./start.sh small_ruleset,0.2,0,,tcpreplay -i data -tK --loop 1000 --preload-pcap /pcaps/smallFlows.pcap,2,30
